Dataset,Official YAML,Real Path,Use,Status
01_btr_original_1class,training_configs/01_btr_original_1class.yaml,<external-dataset-root>/01_btr_original_1class,BTR-only detector,Good
02_kaggle_military_12class,training_configs/02_kaggle_military_12class.yaml,<external-dataset-root>/02_kaggle_military_12class,Broad military multi-class,Good
03_roboflow_military_footage_8class,training_configs/03_roboflow_military_footage_8class.yaml,<external-dataset-root>/03_roboflow_military_footage_8class,Military footage classes,Good
04_roboflow_tank_2class,training_configs/04_roboflow_tank_2class.yaml,<external-dataset-root>/04_roboflow_tank_2class,Tank/military vehicle focus,Needs class cleanup later
05_amad5_aerial_military_5class_clean,training_configs/05_amad5_aerial_military_5class_clean.yaml,<external-dataset-root>/05_amad5_aerial_military_5class_clean,Aerial UAV military detection,Official clean AMAD5
06_custom_drone_frames_raw_206,None,<external-dataset-root>/06_custom_drone_frames_raw_206,Raw drone frames,Needs labels before training
