epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,167.039,0.0305,0.78528,0.9816,1.60109,0.000279063,0.000279063,0.000279063
72,169.352,0.02067,0.79755,0.9816,1.23502,0.000270064,0.000270064,0.000270064
73,171.663,0.03145,0.79755,0.98773,1.26861,0.000261065,0.000261065,0.000261065
74,173.964,0.02552,0.80982,0.9816,1.18424,0.000252066,0.000252066,0.000252066
75,176.129,0.02684,0.81595,0.98773,1.18117,0.000243067,0.000243067,0.000243067
76,178.41,0.02381,0.79141,0.98773,1.83641,0.000234068,0.000234068,0.000234068
77,180.598,0.03271,0.80368,0.99387,1.20615,0.000225068,0.000225068,0.000225068
78,182.8,0.01889,0.79755,0.99387,1.17983,0.000216069,0.000216069,0.000216069
79,185.066,0.02275,0.78528,0.98773,1.19422,0.00020707,0.00020707,0.00020707
80,187.272,0.03954,0.80368,0.99387,1.47817,0.000198071,0.000198071,0.000198071
81,189.506,0.01875,0.80368,0.98773,1.19524,0.000189072,0.000189072,0.000189072
82,191.758,0.03573,0.80368,0.99387,1.21837,0.000180073,0.000180073,0.000180073
83,194.07,0.02503,0.80368,0.99387,1.20095,0.000171074,0.000171074,0.000171074
84,196.303,0.02681,0.79141,0.99387,1.19231,0.000162075,0.000162075,0.000162075
85,198.525,0.02441,0.79141,0.99387,1.55266,0.000153076,0.000153076,0.000153076
86,200.725,0.02616,0.79141,0.98773,1.94418,0.000144077,0.000144077,0.000144077
87,202.921,0.02071,0.78528,0.99387,1.18547,0.000135077,0.000135077,0.000135077
88,205.193,0.01795,0.78528,0.99387,2.05532,0.000126078,0.000126078,0.000126078
89,207.453,0.02495,0.77914,0.99387,1.18548,0.000117079,0.000117079,0.000117079
90,209.678,0.02038,0.78528,0.99387,1.14164,0.00010808,0.00010808,0.00010808
91,243.005,0.03072,0.77914,0.99387,1.16398,9.9081e-05,9.9081e-05,9.9081e-05
92,245.205,0.02058,0.78528,0.99387,1.39099,9.00819e-05,9.00819e-05,9.00819e-05
93,247.397,0.01905,0.78528,0.98773,1.97772,8.10828e-05,8.10828e-05,8.10828e-05
94,249.569,0.02085,0.77914,0.98773,1.13417,7.20837e-05,7.20837e-05,7.20837e-05
95,251.769,0.01569,0.79141,0.99387,1.12101,6.30846e-05,6.30846e-05,6.30846e-05
96,254.046,0.02363,0.77914,0.99387,1.12052,5.40855e-05,5.40855e-05,5.40855e-05
97,256.243,0.02213,0.80368,0.99387,1.38041,4.50864e-05,4.50864e-05,4.50864e-05
98,258.49,0.02016,0.79755,0.99387,1.45478,3.60873e-05,3.60873e-05,3.60873e-05
99,260.727,0.03421,0.78528,0.99387,1.13784,2.70882e-05,2.70882e-05,2.70882e-05
100,262.994,0.0215,0.80368,0.99387,1.13097,1.80891e-05,1.80891e-05,1.80891e-05
