"FileName","FullName","SizeBytes","SHA256","LastWriteTime"
"armored_vehicle_classifier_v1.pt","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\armored_classifier\armored_vehicle_classifier_v1.pt","10263816","F7FDE262F0F20119EE77BC1F52DE115BAE27F5C99F4DD2E46AD83948623DEC36","7/9/2026 12:19:03 PM"
"artillery_launcher_classifier_v1.pt","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\artillery_classifier\artillery_launcher_classifier_v1.pt","10266440","9E1EE45FEEC45DA8876A0152C40E6FFEDCBC2EA5616F1264A23975BCAD53A9A3","7/9/2026 4:14:32 PM"
"military_kaggle_v1.pt","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\detector\military_kaggle_v1.pt","22498986","B50AF702E65FE3B144824D517AEDC157CB4235E56CF3FE786B6C1A435ECAEF1F","7/2/2026 3:59:32 PM"
"tank_type_classifier_v3_only_tanks.pt","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\03_MODELS\active\tank_classifier\tank_type_classifier_v3_only_tanks.pt","10272136","3C3891FD49DBC857DD5F4C8B2AE05AE27E99D8350669314D898DB7E4236F13F2","7/9/2026 10:17:04 AM"
